date,Team_1,Team_2,Winner,Margin,Ground
"Jan 12, 2011",South Africa,India,South Africa,135 runs,Durban
"Jan 15, 2011",South Africa,India,India,1 run,Johannesburg
"Jan 16, 2011",Australia,England,Australia,6 wickets,Melbourne
"Jan 18, 2011",South Africa,India,India,2 wickets,Cape Town
"Jan 21, 2011",Australia,England,Australia,46 runs,Hobart
"Jan 21, 2011",South Africa,India,South Africa,48 runs,Gqeberha
"Jan 22, 2011",New Zealand,Pakistan,New Zealand,9 wickets,Wellington
"Jan 23, 2011",Australia,England,Australia,4 wickets,Sydney
"Jan 23, 2011",South Africa,India,South Africa,33 runs,Centurion
"Jan 26, 2011",New Zealand,Pakistan,no result,-,Queenstown
"Jan 26, 2011",Australia,England,England,21 runs,Adelaide
"Jan 29, 2011",New Zealand,Pakistan,Pakistan,43 runs,Christchurch
"Jan 30, 2011",Australia,England,Australia,51 runs,Brisbane
"Jan 31, 2011",Sri Lanka,West Indies,no result,-,Colombo (SSC)
"Feb 1, 2011",New Zealand,Pakistan,Pakistan,2 wickets,Napier
"Feb 2, 2011",Australia,England,Australia,2 wickets,Sydney
"Feb 3, 2011",New Zealand,Pakistan,Pakistan,41 runs,Hamilton
"Feb 3, 2011",Sri Lanka,West Indies,Sri Lanka,8 wickets,Colombo (SSC)
"Feb 5, 2011",New Zealand,Pakistan,New Zealand,57 runs,Auckland
"Feb 6, 2011",Australia,England,Australia,57 runs,Perth
"Feb 6, 2011",Sri Lanka,West Indies,Sri Lanka,26 runs,Colombo (SSC)
"Feb 19, 2011",Bangladesh,India,India,87 runs,Mirpur
"Feb 20, 2011",Kenya,New Zealand,New Zealand,10 wickets,Chennai
"Feb 20, 2011",Sri Lanka,Canada,Sri Lanka,210 runs,Hambantota
"Feb 21, 2011",Australia,Zimbabwe,Australia,91 runs,Ahmedabad
"Feb 22, 2011",England,Netherlands,England,6 wickets,Nagpur
"Feb 23, 2011",Kenya,Pakistan,Pakistan,205 runs,Hambantota
"Feb 24, 2011",South Africa,West Indies,South Africa,7 wickets,Delhi
"Feb 25, 2011",Australia,New Zealand,Australia,7 wickets,Nagpur
"Feb 25, 2011",Bangladesh,Ireland,Bangladesh,27 runs,Mirpur
"Feb 26, 2011",Sri Lanka,Pakistan,Pakistan,11 runs,Colombo (RPS)
"Feb 27, 2011",India,England,tied,-,Bengaluru
"Feb 28, 2011",Canada,Zimbabwe,Zimbabwe,175 runs,Nagpur
"Feb 28, 2011",Netherlands,West Indies,West Indies,215 runs,Delhi
"Mar 1, 2011",Sri Lanka,Kenya,Sri Lanka,9 wickets,Colombo (RPS)
"Mar 2, 2011",England,Ireland,Ireland,3 wickets,Bengaluru
"Mar 3, 2011",Netherlands,South Africa,South Africa,231 runs,Mohali
"Mar 3, 2011",Canada,Pakistan,Pakistan,46 runs,Colombo (RPS)
"Mar 4, 2011",New Zealand,Zimbabwe,New Zealand,10 wickets,Ahmedabad
"Mar 4, 2011",Bangladesh,West Indies,West Indies,9 wickets,Mirpur
"Mar 5, 2011",Sri Lanka,Australia,no result,-,Colombo (RPS)
"Mar 6, 2011",England,South Africa,England,6 runs,Chennai
"Mar 6, 2011",India,Ireland,India,5 wickets,Bengaluru
"Mar 7, 2011",Canada,Kenya,Canada,5 wickets,Delhi
"Mar 8, 2011",New Zealand,Pakistan,New Zealand,110 runs,Pallekele
"Mar 9, 2011",India,Netherlands,India,5 wickets,Delhi
"Mar 10, 2011",Sri Lanka,Zimbabwe,Sri Lanka,139 runs,Pallekele
"Mar 11, 2011",Ireland,West Indies,West Indies,44 runs,Mohali
"Mar 11, 2011",Bangladesh,England,Bangladesh,2 wickets,Chattogram
"Mar 12, 2011",India,South Africa,South Africa,3 wickets,Nagpur
"Mar 13, 2011",Canada,New Zealand,New Zealand,97 runs,Wankhede
"Mar 13, 2011",Australia,Kenya,Australia,60 runs,Bengaluru
"Mar 14, 2011",Bangladesh,Netherlands,Bangladesh,6 wickets,Chattogram
"Mar 14, 2011",Pakistan,Zimbabwe,Pakistan,7 wickets,Pallekele
"Mar 15, 2011",Ireland,South Africa,South Africa,131 runs,Eden Gardens
"Mar 16, 2011",Australia,Canada,Australia,7 wickets,Bengaluru
"Mar 17, 2011",England,West Indies,England,18 runs,Chennai
"Mar 18, 2011",Ireland,Netherlands,Ireland,6 wickets,Eden Gardens
"Mar 18, 2011",New Zealand,Sri Lanka,Sri Lanka,112 runs,Wankhede
"Mar 19, 2011",Bangladesh,South Africa,South Africa,206 runs,Mirpur
"Mar 19, 2011",Australia,Pakistan,Pakistan,4 wickets,Colombo (RPS)
"Mar 20, 2011",Kenya,Zimbabwe,Zimbabwe,161 runs,Eden Gardens
"Mar 20, 2011",India,West Indies,India,80 runs,Chennai
"Mar 23, 2011",Pakistan,West Indies,Pakistan,10 wickets,Mirpur
"Mar 24, 2011",India,Australia,India,5 wickets,Ahmedabad
"Mar 25, 2011",New Zealand,South Africa,New Zealand,49 runs,Mirpur
"Mar 26, 2011",Sri Lanka,England,Sri Lanka,10 wickets,Colombo (RPS)
"Mar 29, 2011",Sri Lanka,New Zealand,Sri Lanka,5 wickets,Colombo (RPS)
"Mar 30, 2011",India,Pakistan,India,29 runs,Mohali
"Apr 2, 2011",India,Sri Lanka,India,6 wickets,Wankhede
"Apr 9, 2011",Bangladesh,Australia,Australia,60 runs,Mirpur
"Apr 11, 2011",Bangladesh,Australia,Australia,9 wickets,Mirpur
"Apr 13, 2011",Bangladesh,Australia,Australia,66 runs,Mirpur
"Apr 23, 2011",West Indies,Pakistan,Pakistan,8 wickets,Gros Islet
"Apr 25, 2011",West Indies,Pakistan,Pakistan,7 wickets,Gros Islet
"Apr 28, 2011",West Indies,Pakistan,Pakistan,3 wickets,Bridgetown
"May 2, 2011",West Indies,Pakistan,West Indies,1 run,Bridgetown
"May 5, 2011",West Indies,Pakistan,West Indies,10 wickets,Providence
"May 28, 2011",Ireland,Pakistan,Pakistan,7 wickets,Belfast
